name,item_id,text
定义与概述,k1,
瀑布模型的起源,k2,瀑布模型于1970年在Winston Royce的论文《管理大型软件系统开发》（Managing the Development of Larger Software Systems）中被提出，将软件生命周期的各项活动规定为按固定顺序而连接的若干阶段工作，形如瀑布流水，最终得到软件产品。论文描述了软件开发的阶段性过程，虽然他并没有明确提出“瀑布模型”这一术语，但他的工作为后来的瀑布模型奠定了基础。
什么是瀑布模型,k3,"瀑布模型，又称为预测型生命周期或完全计划驱动型生命周期，是软件开发过程中的一个经典模型。它要求在项目生命周期的早期阶段就确定项目范围以及交付该范围所需的时间和成本。在瀑布模型中，项目启动时，团队会专注于定义产品和项目的总体范围，随后制定产品交付计划，并通过各个阶段执行这一计划。项目范围的变更应当被仔细管理，任何新增范围都需要重新计划和正式确认。
瀑布模型核心思想是按工序将问题化简，将功能的实现与设计分开，便于分工协作，即采用结构化的分析与设计方法将逻辑实现与物理实现分开。将软件生命周期划分为制定计划、需求分析、软件设计、程序编写、软件测试和运行维护等六个基本活动，并且规定了它们自上而下、相互衔接的固定次序，如同瀑布流水，逐级下落。
瀑布模型是最早出现的软件开发模型，在软件工程中占有重要的地位，它提供了软件开发的基本框架。其过程是从上一项活动接收该项活动的工作对象作为输入，利用这一输入实施该项活动应完成的内容给出该项活动的工作成果，并作为输出传给下一项活动。同时评审该项活动的实施，若确认，则继续下一项活动；否则返回前面，甚至更前面的活动。对于经常变化的项目而言，瀑布模型毫无价值。"
核心特点,k4,"核心特点：
阶段明确且顺序固定
瀑布模型将软件开发过程划分为多个阶段，如需求分析、设计、编码、测试、维护等。这些阶段按照线性顺序依次进行，如同瀑布流水一样，每个阶段都有明确的输入和输出。例如，在需求分析阶段，项目团队需要和用户紧密沟通，详细了解软件的功能、性能、界面等各方面的需求，并将这些需求整理成文档。只有当需求分析阶段完成并且文档通过评审后，才能进入设计阶段。
设计阶段会根据需求文档，进行软件的总体设计和详细设计，包括架构设计、模块划分、数据库设计等。这个阶段的输出是设计文档，作为编码阶段的输入。这种严格的顺序性使得项目过程清晰，便于管理和控制。
阶段性评审
在每个阶段结束时进行严格的评审。例如在设计阶段结束后，会有设计评审，相关人员（包括项目团队成员、客户代表、领域专家等）会对设计方案进行审查，检查设计是否满足需求、是否存在潜在的风险、设计的可行性等。只有评审通过的阶段成果才能进入下一阶段，这有助于尽早发现问题，降低后期返工的成本。如果在测试阶段发现需求阶段的错误，那么就需要回溯到需求分析阶段进行修正，然后依次重新进行设计、编码等后续阶段。
文档驱动
瀑布模型非常强调文档的完整性和准确性。每个阶段都会产生大量的文档，这些文档记录了项目各个阶段的成果。例如，需求文档记录了软件的详细需求，设计文档包含软件的架构和详细设计内容，测试文档则有测试计划、测试用例和测试报告等。这些文档不仅是本阶段工作的总结，也是下一阶段工作的依据，并且在后续的维护阶段，文档对于理解软件的结构和功能也起到关键作用。
阶段性交付
瀑布模型以阶段性的方式交付产品。在开发过程中，虽然最终的软件产品是在所有阶段完成后才能完整交付，但每个阶段结束时也会有相应的中间成果交付。比如在编码阶段结束后，会交付经过单元测试的代码；测试阶段结束后，会交付经过集成测试和系统测试的软件版本等。这种方式使得客户或项目管理人员可以在每个阶段对项目进展进行评估，确保项目朝着正确的方向前进。
风险后置
由于瀑布模型的线性顺序特点，前期阶段的错误如果没有被及时发现，往往会在后期阶段（如测试或维护阶段）才暴露出来。这种情况下，修正错误的成本会很高，因为需要回溯到前面的阶段进行修改，并且可能会对后面已经完成的阶段产生连锁反应。例如，如果在系统测试阶段发现软件的架构设计存在缺陷，那么可能需要重新设计架构，重新编码，重新进行部分测试，这会导致项目进度延迟和成本增加。"
适用场景,k5,"适用场景
需求明确稳定的项目
当项目的需求非常明确，并且在项目开发过程中不会轻易发生变化时，瀑布模型是一个很好的选择。例如，开发一个企业内部的财务核算软件，财务核算的规则和流程是相对固定的，如会计凭证的录入、账目核算、报表生成等功能都有明确的会计准则和企业内部规范作为依据。在这种情况下，项目团队可以按照瀑布模型的阶段，依次完成需求分析、设计、编码等工作，不需要频繁地应对需求的变更。
对于一些简单的工具软件，如文本编辑器，其基本功能（如文字输入、编辑、保存、打印等）比较固定，需求比较容易确定，也适合采用瀑布模型进行开发。
技术成熟的项目
如果项目所涉及的技术是成熟的，开发团队对这些技术有很好的掌握，那么使用瀑布模型可以有效地组织开发过程。例如，采用常见的编程语言（如 Java、C#）和成熟的数据库管理系统（如 MySQL、Oracle）来开发一个传统的客户关系管理（CRM）系统。开发团队已经熟悉这些技术的应用，在开发过程中可以按照预定的阶段有序地进行工作，从需求分析确定 CRM 系统的功能（如客户信息管理、销售机会跟踪等），到设计系统的架构和数据库，再到编码实现各个功能模块。
像开发基于已有成熟框架的网站，如使用流行的 Web 开发框架（如 Django、Spring Boot）构建企业官网，技术风险较低，瀑布模型能够充分发挥其阶段清晰的优势，确保项目顺利推进。
对文档要求较高的项目
在一些需要严格文档管理的项目中，瀑布模型很适用。例如，在开发医疗设备控制软件时，由于医疗行业的严格监管要求，需要详细记录软件的开发过程和各项技术细节。从需求规格说明书，详细记录医疗设备的各种功能要求和安全标准，到设计文档描述软件如何控制设备的各个部件，再到测试文档展示软件是否符合医疗行业的质量和安全规范。
政府或国防领域的软件项目也通常对文档要求很高。这些项目往往需要通过详细的文档来记录软件的功能、性能、安全性等各方面的信息，以便进行严格的审查和审计。瀑布模型所强调的文档驱动特点可以很好地满足这种需求。
项目规模较大且有明确分工的团队
对于大型项目，如大型企业资源规划（ERP）系统的开发，涉及到众多的功能模块（如生产管理、采购管理、销售管理、人力资源管理等）和大量的开发人员。瀑布模型通过明确的阶段划分，可以有效地组织团队成员的分工。不同的团队可以负责不同的阶段，例如，一组人员专注于需求分析，另一组进行系统设计，还有专门的编码团队和测试团队。
在这种情况下，每个阶段的成果和文档可以作为团队之间沟通的桥梁，使得各个团队能够明确自己的工作目标和任务，并且可以在阶段评审时进行有效的沟通和协调，确保整个项目按照计划顺利进行。"
阶段划分,k6,
需求分析,k7,"明确用户需求：这是需求分析阶段最核心的任务。需要和用户进行深入的沟通，包括终端用户、业务分析师、利益相关者等。例如，在开发一款电商 APP 时，要了解用户对于商品展示、购物车功能、支付方式、订单查询与跟踪等方面的详细需求。不仅要知道用户想要什么功能，还要清楚他们对于功能的操作方式、性能要求（如页面加载速度）和期望的用户体验（如界面的友好性、交互的便捷性）等方面的想法。
确定软件系统的边界：定义软件能够做什么和不能做什么。以企业资源规划（ERP）软件为例，要明确系统是只涵盖企业内部的资源管理，还是会涉及外部供应商和客户的部分功能；对于数据的处理，是只在企业内部局域网进行，还是可以通过互联网进行远程数据交互等边界问题。这有助于防止范围蔓延，避免在后续开发过程中加入不必要的功能，从而控制项目成本和进度。
梳理业务流程：将用户的业务流程和软件的功能流程相结合进行梳理。例如，对于一个物流管理系统，要详细了解货物从发货方到收货方的整个流程，包括订单生成、仓库分拣、运输调度、在途跟踪、货物签收等环节，并且确定软件如何对这些环节进行支持和优化。
收集非功能需求：除了功能需求外，还需要收集非功能需求，如软件的性能要求（响应时间、吞吐量等）、安全性要求（用户数据安全、系统访问安全等）、可靠性要求（系统的稳定性、容错能力等）、兼容性要求（与不同操作系统、浏览器、其他软件系统的兼容等）。比如开发一个银行网上交易系统，安全性和可靠性是至关重要的非功能需求，系统必须保证用户的账户信息安全，并且在高并发交易时能够稳定运行。
访谈与调研：
用户访谈：与不同类型的用户进行面对面的交流或者电话访谈。例如，在开发医院信息管理系统时，要采访医生、护士、医院管理人员、药房工作人员等，了解他们在日常工作中如何使用系统，需要系统提供哪些帮助。通过开放式问题和封闭式问题相结合的方式，获取详细的需求信息。
市场调研：分析同类软件产品的市场情况。如果开发一款移动办公软件，需要研究市场上已有的类似软件（如钉钉、企业微信等）的功能特点、用户评价、优势和劣势等，以便确定自己产品的差异化竞争优势和需要满足的基本功能要求。
观察业务操作：对于一些具有复杂操作流程的项目，直接观察用户的实际操作是很有必要的。例如，在开发一个工厂的生产管理系统时，到车间观察生产工人如何记录生产数据、如何进行设备操作和维护等实际业务操作，从而获取最真实的需求信息。
需求文档编制：
需求规格说明书：这是需求分析阶段最重要的文档。它详细记录了软件的功能需求、非功能需求、业务流程等内容。以一个游戏软件开发为例，需求规格说明书中会详细描述游戏的玩法规则、不同关卡的设置、角色的功能属性、画面的质量要求、对不同硬件设备的适配性等内容。
用例模型：通过用例图和用例描述来表示软件系统与外部参与者之间的交互。在开发一个在线教育平台时，用例模型可以展示学生如何登录系统、选课、学习课程、参加考试，教师如何创建课程、上传教学资料、批改作业等交互场景。
需求验证与评审：
需求验证：与用户一起验证需求的准确性和完整性。例如，在完成需求规格说明书后，通过原型展示或者详细的文档讲解等方式，让用户确认需求是否符合他们的期望。对于一个智能交通管理系统，通过模拟交通场景的原型，让交通管理人员验证系统对交通流量监测、违章处理等功能的需求是否正确。
需求评审：组织包括开发团队、测试团队、项目管理人员等在内的相关人员对需求进行评审。评审内容包括需求的合理性、技术可行性、是否符合项目目标等。在开发一个航空订票系统时，评审过程中要检查系统对航班信息查询、订票、退票、改签等功能需求是否合理，是否在现有技术条件下能够实现，是否与航空公司的业务目标和安全要求相符合。"
系统设计,k8,"总体设计
架构设计：
确定软件架构风格：根据软件的功能、性能、可扩展性等需求选择合适的架构风格。例如，对于一个大型的互联网电商平台，可能会采用分布式架构，如微服务架构，将不同的功能模块（如用户管理、商品管理、订单管理等）拆分成独立的微服务，以提高系统的可扩展性和灵活性。而对于一个简单的单机版工具软件，如文本编辑器，可能采用简单的分层架构，包括界面层、逻辑层和数据存储层就足够了。
定义系统模块及其关系：明确软件系统由哪些主要模块组成以及它们之间如何相互协作。以企业资源规划（ERP）系统为例，会划分出生产管理模块、财务管理模块、人力资源管理模块等，并且确定这些模块之间的数据流向和接口关系，如生产管理模块的生产订单数据如何传递给财务管理模块进行成本核算。
技术选型：
编程语言和开发框架选择：依据项目的特点和团队的技术能力来确定使用的编程语言和开发框架。例如，开发一个移动应用程序，如果目标是 iOS 和 Android 双平台，可能会选择跨平台的开发框架，如 Flutter 或 React Native；如果是开发一个高性能的后端服务，可能会考虑使用 Java 或 Go 语言，并结合 Spring Boot 或 Gin 等框架。
数据库系统选型：根据数据的类型、规模和访问模式选择合适的数据库。对于数据量庞大、需要复杂事务处理的系统，如银行核心业务系统，可能会选择关系型数据库，如 Oracle 或 SQL Server；对于存储大量非结构化数据，如图片、视频、日志文件的系统，如社交媒体平台，可能会采用非关系型数据库，如 MongoDB 或 Elasticsearch。
详细设计
模块内部设计：
算法设计：针对每个模块中的关键功能，设计具体的算法。例如，在一个图像识别软件中，对于图像特征提取和分类的功能模块，需要设计合适的算法，如卷积神经网络（CNN）算法来实现高效准确的图像识别。
数据结构设计：确定模块内部使用的数据结构。在一个编译器软件中，语法树的数据结构对于解析程序代码起着关键作用，需要精心设计其节点结构、存储方式以及遍历算法，以确保编译器能够正确地分析代码的语法和语义。
界面设计：
用户界面流程规划：设计用户与软件系统交互的流程。以一个在线购物平台为例，用户从登录界面开始，如何浏览商品、添加购物车、结算付款以及查看订单状态等操作流程都需要进行详细设计，确保操作简便、逻辑清晰。
界面布局和元素设计：确定界面的布局方式和各个元素（如按钮、文本框、菜单等）的设计。例如，在设计一个移动健康管理应用时，界面要简洁明了，信息展示要符合用户的查看习惯，操作按钮要易于点击，并且在不同的设备屏幕尺寸下都能保持良好的视觉效果。
设计文档编制
系统设计文档内容：
架构图和模块图：用图形化的方式展示系统的整体架构和各个模块的划分。这些图能够直观地反映系统的结构，帮助开发人员、测试人员和维护人员理解系统的组成和工作原理。
接口设计说明：详细描述各个模块之间的接口，包括接口的功能、输入输出参数、调用方式等。在一个软件系统集成项目中，准确的接口设计说明是确保不同模块能够正确对接的关键。
数据设计文档：包括数据库设计（表结构、字段定义、关系等）和数据处理流程的说明。对于一个数据仓库项目，数据设计文档详细记录了数据的来源、清洗方式、存储结构以及如何为数据分析提供支持。
文档的重要性和作用：
沟通工具：设计文档是开发团队内部以及与其他相关部门（如需求分析部门、测试部门）沟通的重要工具。它能够确保所有人员对系统的设计思路和细节有统一的理解，减少误解和沟通成本。
项目传承：在项目的后续阶段，如测试、维护和升级过程中，设计文档为相关人员提供了系统设计的依据，使得他们能够快速了解系统的结构和功能，方便进行故障排查、功能扩展和性能优化。
设计评审
评审目的和参与人员：
发现设计缺陷：设计评审的主要目的是在编码之前尽可能地发现设计中的问题，如架构不合理、模块接口不清晰、算法效率低下等。参与评审的人员包括项目组的资深开发人员、系统分析师、测试负责人等，他们从不同的角度对设计进行检查。
评估设计可行性和合理性：确保设计方案在技术上可行并且符合项目的目标和需求。例如，在评审一个实时数据处理系统的设计时，要评估设计的架构和算法是否能够满足实时性要求，是否合理地利用了资源，是否与用户的业务需求相匹配。
评审过程和后续工作：
会议讨论和问题记录：在评审会议中，参与人员对设计文档进行讨论，提出问题和建议。这些问题会被详细记录下来，作为修改设计的依据。例如，在评审一个软件开发工具的设计时，可能会发现用户界面的某些操作不符合用户的使用习惯，这些问题会被记录并要求设计人员进行修改。
设计修改和再评审：根据评审中提出的问题，设计人员对设计进行修改。修改完成后，可能需要进行再次评审，直到设计方案得到通过，确保设计质量达到要求，为后续的编码阶段打下坚实的基础。"
实现与编码,k9,"编码准备
理解设计文档：开发人员需要深入透彻地理解系统设计文档。这包括系统的架构、模块划分、接口定义、数据结构以及详细的算法设计等方面。例如，在开发一个金融交易系统时，编码人员要仔细研究设计文档中关于交易处理模块的内部结构，明确订单的生成、撮合、结算等功能的具体实现细节，以及该模块与用户管理模块、资金管理模块之间的接口定义。
搭建开发环境：根据技术选型和系统设计要求，搭建合适的开发环境。这涉及到安装和配置编程语言的编译器或解释器、开发框架、数据库管理系统以及其他必要的工具和库。以开发一个基于 Python 的 Web 应用为例，需要安装 Python 语言环境，配置 Django 或 Flask 等 Web 开发框架，安装并配置相关的数据库驱动，如用于连接 MySQL 或 PostgreSQL 数据库的驱动程序。
代码编写原则
遵循编码规范：采用统一的编码规范是确保代码质量和可读性的关键。这包括代码的缩进格式、命名规则（变量名、函数名、类名等）、注释风格等方面。例如，在 Java 开发中，通常遵循 Sun 公司推荐的 Java 编码规范，如变量名采用小写字母开头的驼峰命名法，类名采用大写字母开头的驼峰命名法，并且在代码中要合理添加注释，用于解释代码的功能和意图。
模块化与复用性：将代码按照功能划分为不同的模块，以提高代码的可维护性和复用性。例如，在开发一个企业管理软件时，将用户登录验证、数据查询、报表生成等功能分别封装成独立的模块。这样，在其他功能需要使用相同的操作时，就可以直接复用这些模块，减少代码的重复编写，同时也方便对代码进行独立的测试和维护。
高效性与性能优化：在编写代码时，要考虑代码的执行效率和性能。对于一些性能敏感的应用，如大数据处理系统或实时控制系统，需要采用高效的算法和数据结构。例如，在处理大量数据的排序操作时，根据数据的特点选择合适的排序算法，如快速排序或归并排序，而不是简单的冒泡排序，以提高数据处理的速度。
单元测试与代码集成
单元测试：开发人员对自己编写的代码进行单元测试，以确保每个函数、方法或类的功能正确性。单元测试通常使用专门的测试框架，如 JUnit（用于 Java）、PyTest（用于 Python）等。在测试过程中，通过编写测试用例，模拟各种输入情况，验证代码的输出是否符合预期。例如，在开发一个计算器应用程序时，对于加法运算函数，编写多个测试用例，分别输入不同类型的数字（整数、小数、负数等），检查函数的输出是否正确。
代码集成：在单元测试通过后，将各个模块的代码按照系统设计的架构进行集成。这可能会涉及到解决模块之间的接口兼容性问题、数据传递问题等。例如，在一个多模块的电子商务系统中，将用户注册模块、商品浏览模块和购物车模块集成时，需要确保用户信息在模块之间的正确传递，以及购物车模块能够正确获取商品浏览模块中的商品信息。
版本控制与代码管理
版本控制工具的使用：使用版本控制工具（如 Git）来管理代码的版本。开发人员可以通过版本控制工具记录代码的修改历史，包括每次修改的内容、时间、作者等信息。例如，在一个团队合作开发的项目中，不同的开发人员可以在自己的分支上进行代码开发，当功能完成后，通过合并分支将代码集成到主分支中，并且可以方便地回溯到之前的版本，查看代码的演变过程。
代码仓库的管理：建立和维护代码仓库，确保代码的安全存储和方便获取。代码仓库可以是本地的，也可以是远程的（如在 GitHub 或 GitLab 等平台上）。在团队开发中，合理设置代码仓库的权限，使得团队成员能够根据自己的角色和任务访问和修改代码，同时防止未经授权的访问和修改。
与其他阶段的衔接
反馈机制：在编码过程中，如果发现设计文档中的问题或者需求不明确的情况，需要及时与设计团队和需求分析团队进行反馈。例如，在实现一个复杂的业务逻辑功能时，发现设计文档中的算法描述与实际需求不符，或者存在一些难以实现的技术细节，此时就需要与相关团队沟通，对设计进行调整或者对需求进行重新明确。
进度沟通：与项目管理团队保持沟通，及时汇报编码阶段的进度。这有助于项目管理团队对整个项目的进度进行监控和调整。例如，在开发一个大型软件项目时，开发团队需要定期向项目管理团队汇报各个模块的编码进度，是否遇到技术难题，以及预计的完成时间等信息，以便项目管理团队根据实际情况协调资源、调整计划。"
测试,k10,"测试计划制定
确定测试目标和范围：明确测试的目的是什么，例如是要验证软件的功能完整性、性能是否达标、安全性是否可靠等，同时界定测试的范围，包括软件的哪些功能模块、哪些业务流程以及哪些用户场景会被测试。以一个电商系统为例，测试目标可能是确保用户能够顺利完成从商品浏览、加入购物车、下单支付到订单跟踪的全流程操作，范围涵盖网站前端和后端的相关功能模块。
规划测试资源和进度：确定测试所需的人力、硬件和软件资源。比如需要多少测试人员，是否需要特定的测试工具（如性能测试工具 LoadRunner、自动化测试工具 Selenium），以及安排测试的时间进度，包括各个测试阶段的开始时间和结束时间。对于一个复杂的企业级软件，可能需要一个测试团队花费数周时间来完成不同层次的测试工作。
设计测试策略和方法：选择合适的测试策略，如黑盒测试、白盒测试还是灰盒测试。黑盒测试主要关注软件的功能是否符合需求，不考虑内部代码结构；白盒测试则侧重于检查代码的逻辑结构和内部实现；灰盒测试介于两者之间。同时，还要确定具体的测试方法，例如功能测试、性能测试、兼容性测试、安全测试等。在开发一个移动应用时，就需要采用功能测试来验证各个功能按钮的响应是否正确，性能测试来检查应用在不同网络环境下的加载速度，兼容性测试来确保应用在各种手机型号和操作系统版本上能够正常运行。
测试用例设计
功能测试用例：针对软件的每一个功能点，设计详细的测试用例。以一个在线教育平台为例，对于课程播放功能，测试用例可能包括正常播放课程视频、暂停和恢复播放、快进和快退、不同清晰度的切换等多种情况，并且要明确每种情况下的预期输出。这些测试用例要尽可能覆盖所有可能的用户操作和功能场景，以确保软件功能的准确性和稳定性。
非功能测试用例：除了功能测试用例，还需要设计非功能测试用例。对于性能测试，要考虑系统的响应时间、吞吐量、资源利用率等指标。比如在测试一个银行核心业务系统时，要模拟高并发的交易场景，测试系统在大量交易请求下的响应时间是否在规定范围内。对于兼容性测试，要考虑软件在不同操作系统、浏览器、设备类型等条件下的兼容性。例如，一个网页应用需要在 Windows、Mac 等操作系统下的主流浏览器（如 Chrome、Firefox、Safari）中都能正常显示和使用。对于安全性测试，要设计测试用例来检查软件是否存在安全漏洞，如 SQL 注入、XSS（跨站脚本攻击）等。
测试执行
手动测试执行：测试人员按照测试用例，手动操作软件来验证软件的功能和性能等特性。在手动测试过程中，测试人员需要仔细记录测试过程中发现的问题，包括问题出现的位置、操作步骤、错误信息等。例如，在测试一个图形设计软件时，测试人员通过手动操作各种工具（如画笔、形状工具、填充工具等）来检查软件的功能是否正常，若发现使用某一工具时软件崩溃，就要详细记录崩溃前的操作步骤和出现的错误提示。
自动化测试执行（如有）：对于一些重复性高、较为稳定的测试场景，可以采用自动化测试。利用自动化测试工具（如 Appium 用于移动应用自动化测试、JMeter 用于性能自动化测试），编写自动化测试脚本，然后执行这些脚本。自动化测试可以大大提高测试效率，尤其适用于回归测试，即每次软件修改后重新验证之前测试过的功能是否受到影响。例如，在一个持续迭代开发的软件项目中，每次更新代码后，运行自动化性能测试脚本可以快速检查系统的性能是否下降。
缺陷跟踪与管理
缺陷发现与记录：在测试过程中，一旦发现软件存在问题，要及时记录缺陷。缺陷记录应包含详细的信息，如缺陷编号、缺陷描述、发现时间、发现人、所属模块、严重程度、优先级等。例如，在测试一个企业资源规划（ERP）软件时，如果发现库存管理模块在进行库存盘点时数据计算错误，要记录该缺陷的详细情况，包括错误的数据、操作步骤以及对业务的影响程度，评估其严重程度（如是否会导致业务流程无法继续）和优先级（如是否需要立即修复）。
缺陷跟踪与修复验证：将记录的缺陷提交给开发人员进行修复，并且跟踪缺陷的修复进度。在开发人员修复缺陷后，测试人员需要再次验证缺陷是否真正被修复。这个过程可能需要反复进行，直到所有缺陷都被成功修复。例如，对于一个软件的登录功能存在用户名密码验证错误的缺陷，在开发人员修复后，测试人员要重新进行登录测试，确保该问题不再出现。
输出成果
测试计划文档：这是测试阶段的一个重要输出，它详细记录了测试的目标、范围、资源安排、进度计划、策略和方法等内容。测试计划文档是整个测试工作的指导文件，不仅为测试团队提供了工作的依据，也方便项目团队中的其他成员（如开发人员、项目经理）了解测试工作的全貌。例如，一个软件项目的测试计划文档可以让开发人员清楚地知道哪些功能和性能方面会被重点测试，以及测试的时间安排，从而更好地协调开发和测试工作。
测试用例文档：包含了所有设计的测试用例，详细说明了每个测试用例的编号、名称、测试目的、测试步骤、输入数据、预期输出等信息。测试用例文档是测试执行的基础，也是后续回归测试的重要参考。在软件的维护和升级阶段，当对软件进行修改后，可以根据测试用例文档快速进行测试，检查修改是否对原有功能产生影响。例如，一个移动应用的测试用例文档可以让新加入的测试人员快速熟悉测试内容，按照文档中的步骤进行测试操作。
测试报告：在测试完成后，需要撰写测试报告。测试报告总结了测试工作的结果，包括测试的基本情况（如测试的版本、测试的时间范围）、测试用例的执行情况（如通过的用例数量、失败的用例数量、未执行的用例数量）、发现的缺陷情况（如缺陷的总数、按严重程度和优先级分类的缺陷分布情况）、软件的质量评估（如是否达到发布标准）等内容。测试报告是项目团队评估软件质量的重要依据，也是决定软件是否可以进入下一阶段（如发布或部署）的关键参考。例如，一个高质量的测试报告可以帮助项目经理判断软件是否需要进一步的测试或修复工作，还是可以交付使用。
缺陷列表及跟踪记录：详细列出了在测试过程中发现的所有缺陷，包括缺陷的详细信息（如前面提到的缺陷编号、描述、严重程度等）以及缺陷的跟踪记录，如缺陷的提交时间、分配给哪个开发人员、修复时间、验证时间等。这个缺陷列表及跟踪记录可以帮助项目团队了解软件的问题所在，评估开发人员的修复效率，并且在后续的软件质量改进过程中提供参考，分析缺陷产生的原因，采取相应的预防措施。"
